id,year,state_name,state_code,district_name,district_code,registration_circles,protection_of_civil_rights_act,murder,attempt_to_commit_murder,rape,attempt_to_commit_rape,assault_on_women,insult_to_the_modesty_of_women,kidnapping_and_abduction,dacoity,robbery,arson,grievous_hurt,riots,other_ipc_crimes,sc_st_prevention_of_atrocities
462,2016,Meghalaya,17,South West Garo Hills,663,Garo Hills South West,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
463,2016,Meghalaya,17,West Garo Hills,278,Garo Hills West,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
464,2016,Meghalaya,17,West Jaintia Hills,275,Jaintia Hills West,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
465,2016,Meghalaya,17,East Jaintia Hills,657,Jaintia Hills East,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
466,2016,Meghalaya,17,East Khasi Hills,274,Khasi Hills East,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
467,2016,Meghalaya,17,South West Khasi Hills,658,Khasi Hills South West,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
468,2016,Meghalaya,17,West Khasi Hills,279,Khasi Hills West,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
469,2016,Meghalaya,17,Ri Bhoi,276,Ri-Bhoi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
470,2016,Mizoram,15,Aizawl,261,Aizawl,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
471,2016,Mizoram,15,Champhai,262,Champhai,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
472,2016,Mizoram,15,Kolasib,263,Kolasib,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
473,2016,Mizoram,15,Lawngtlai,264,Lawngtlai,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
474,2016,Mizoram,15,Lunglei,265,Lunglei,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
475,2016,Mizoram,15,Mamit,266,Mamit,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
476,2016,Mizoram,15,Saiha,267,Saiha,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
477,2016,Mizoram,15,Serchhip,268,Serchhip,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
478,2016,Mizoram,15,Aizawl,261,Spl Narcotic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
479,2016,Nagaland,13,Dimapur,244,Dimapur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
481,2016,Nagaland,13,Kohima,245,Kohima,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
482,2016,Nagaland,13,Longleng,615,Longleng,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
483,2016,Nagaland,13,Mokokchung,246,Mokokchung,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
484,2016,Nagaland,13,Mon,247,Mon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
485,2016,Nagaland,13,Peren,613,Peren,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
